AL,furniture_decor,2018,5,2018-05-01,1,1,0,0,100.000000,0.000000,46,24,-22,-22,-22,1,-22,0,0,0,5,5,NULL
AL,furniture_decor,2018,6,2018-06-01,3,5,0,0,166.670000,0.000000,40.8,25.4,-15.4,-7,-22,5,-15.4,0,0,0,5,5,NULL
AL,garden_tools,2017,11,2017-11-01,1,1,0,0,100.000000,0.000000,33,22,-11,-11,-11,1,-11,0,0,0,5,5,NULL
AL,garden_tools,2018,1,2018-01-01,1,1,0,0,100.000000,0.000000,35,31,-4,-4,-4,1,-4,0,0,0,5,5,NULL
AL,garden_tools,2018,2,2018-02-01,1,0,1,0,0.000000,100.000000,31,32,1,1,1,0,NULL,1,0,0,2,NULL,2
AL,garden_tools,2018,4,2018-04-01,2,2,1,0,100.000000,50.000000,34,25.3,-8.7,4,-15,2,-15,1,0,0,3.67,5,1
AL,health_beauty,2017,4,2017-04-01,4,1,3,0,25.000000,75.000000,33.5,33.8,0.3,10,-17,1,-17,2,1,0,2.75,5,2
AL,health_beauty,2017,10,2017-10-01,4,3,2,0,75.000000,50.000000,32.6,21.4,-11.2,4,-29,3,-21,2,0,0,3.2,3.67,2.5
AC,baby,2017,12,2017-12-01,1,1,0,0,100.000000,0.000000,48,27,-21,-21,-21,1,-21,0,0,0,5,5,NULL
AC,books_general_interest,2018,5,2018-05-01,1,1,0,0,100.000000,0.000000,40,21,-19,-19,-19,1,-19,0,0,0,3,3,NULL
AC,christmas_supplies,2017,12,2017-12-01,1,1,0,0,100.000000,0.000000,54,36,-18,-18,-18,1,-18,0,0,0,4,4,NULL
AC,electronics,2017,9,2017-09-01,1,1,0,0,100.000000,0.000000,46,20,-26,-26,-26,1,-26,0,0,0,5,5,NULL
AC,fashion_bags_accessories,2018,1,2018-01-01,1,1,0,0,100.000000,0.000000,47,15,-32,-32,-32,1,-32,0,0,0,5,5,NULL
AC,furniture_decor,2017,5,2017-05-01,1,1,0,0,100.000000,0.000000,35,24,-11,-11,-11,1,-11,0,0,0,2,2,NULL
AC,furniture_decor,2017,11,2017-11-01,1,0,1,0,0.000000,100.000000,40,41,1,1,1,0,NULL,1,0,0,3,NULL,3
AC,garden_tools,2018,1,2018-01-01,1,1,0,0,100.000000,0.000000,44,13,-31,-31,-31,1,-31,0,0,0,4,4,NULL
AC,health_beauty,2017,2,2017-02-01,1,2,0,0,200.000000,0.000000,31,20,-11,-11,-11,2,-11,0,0,0,5,5,NULL
AC,health_beauty,2017,4,2017-04-01,1,1,0,0,100.000000,0.000000,37,27,-10,-10,-10,1,-10,0,0,0,2,2,NULL
AC,health_beauty,2018,8,2018-08-01,2,2,0,0,100.000000,0.000000,44.5,17,-27.5,-22,-33,2,-27.5,0,0,0,5,5,NULL
AC,luggage_accessories,2017,7,2017-07-01,1,1,0,0,100.000000,0.000000,35,25,-10,-10,-10,1,-10,0,0,0,5,5,NULL
AC,musical_instruments,2018,1,2018-01-01,1,1,0,0,100.000000,0.000000,49,19,-30,-30,-30,1,-30,0,0,0,4,4,NULL
AC,telephony,2017,5,2017-05-01,1,1,0,0,100.000000,0.000000,35,22,-13,-13,-13,1,-13,0,0,0,4,4,NULL
AC,telephony,2017,6,2017-06-01,1,1,0,0,100.000000,0.000000,34,11,-23,-23,-23,1,-23,0,0,0,5,5,NULL
AC,telephony,2018,5,2018-05-01,1,1,0,0,100.000000,0.000000,64,21,-43,-43,-43,1,-43,0,0,0,5,5,NULL
AC,toys,2017,7,2017-07-01,1,1,0,0,100.000000,0.000000,32,15,-17,-17,-17,1,-17,0,0,0,5,5,NULL
AC,watches_gifts,2017,5,2017-05-01,1,1,0,0,100.000000,0.000000,31,12,-19,-19,-19,1,-19,0,0,0,5,5,NULL
AC,watches_gifts,2018,6,2018-06-01,1,1,0,0,100.000000,0.000000,47,13,-34,-34,-34,1,-34,0,0,0,4,4,NULL
AL,audio,2018,5,2018-05-01,1,0,1,0,0.000000,100.000000,29,42,13,13,13,0,NULL,0,1,0,3,NULL,3
AL,auto,2017,5,2017-05-01,2,1,1,0,50.000000,50.000000,31.5,31,-0.5,4,-5,1,-5,1,0,0,4,4,NULL
AL,auto,2017,11,2017-11-01,1,1,0,0,100.000000,0.000000,33,11,-22,-22,-22,1,-22,0,0,0,3,3,NULL
AL,baby,2017,10,2017-10-01,1,1,0,0,100.000000,0.000000,29,13,-16,-16,-16,1,-16,0,0,0,5,5,NULL
AC,baby,2017,7,2017-07-01,1,1,0,0,100.000000,0.000000,34,16,-18,-18,-18,1,-18,0,0,0,5,5,NULL
AC,computers,2017,9,2017-09-01,1,0,1,0,0.000000,100.000000,43,67,24,24,24,0,NULL,0,0,1,1,NULL,1
AC,computers_accessories,2017,5,2017-05-01,1,1,0,0,100.000000,0.000000,45,20,-25,-25,-25,1,-25,0,0,0,4,4,NULL
AC,consoles_games,2017,8,2017-08-01,1,1,0,0,100.000000,0.000000,35,14,-21,-21,-21,1,-21,0,0,0,5,5,NULL
AC,electronics,2017,12,2017-12-01,1,1,0,0,100.000000,0.000000,53,17,-36,-36,-36,1,-36,0,0,0,5,5,NULL
AC,health_beauty,2017,5,2017-05-01,1,1,0,0,100.000000,0.000000,46,26,-20,-20,-20,1,-20,0,0,0,3,3,NULL
AC,housewares,2018,2,2018-02-01,1,1,0,0,100.000000,0.000000,48,20,-28,-28,-28,1,-28,0,0,0,4,4,NULL
AC,market_place,2017,8,2017-08-01,1,1,0,0,100.000000,0.000000,35,34,-1,-1,-1,1,-1,0,0,0,4,4,NULL
AC,perfumery,2017,6,2017-06-01,1,1,0,0,100.000000,0.000000,35,31,-4,-4,-4,1,-4,0,0,0,5,5,NULL
AC,small_appliances,2017,9,2017-09-01,1,1,0,0,100.000000,0.000000,42,13,-29,-29,-29,1,-29,0,0,0,5,5,NULL
AC,sports_leisure,2017,6,2017-06-01,1,1,0,0,100.000000,0.000000,38,14,-24,-24,-24,1,-24,0,0,0,5,5,NULL
AC,stationery,2018,6,2018-06-01,1,1,0,0,100.000000,0.000000,41,12,-29,-29,-29,1,-29,0,0,0,5,5,NULL
AC,telephony,2017,11,2017-11-01,1,1,0,0,100.000000,0.000000,41,14,-27,-27,-27,1,-27,0,0,0,5,5,NULL
AC,toys,2018,4,2018-04-01,1,0,1,0,0.000000,100.000000,41,72,31,31,31,0,NULL,0,0,1,1,NULL,1
AL,audio,2017,11,2017-11-01,1,1,0,0,100.000000,0.000000,27,12,-15,-15,-15,1,-15,0,0,0,5,5,NULL
AL,auto,2017,12,2017-12-01,1,1,0,0,100.000000,0.000000,35,14,-21,-21,-21,1,-21,0,0,0,5,5,NULL
AL,auto,2018,6,2018-06-01,1,1,0,0,100.000000,0.000000,29,15,-14,-14,-14,1,-14,0,0,0,5,5,NULL
AL,baby,2018,7,2018-07-01,1,1,0,0,100.000000,0.000000,30,26,-4,-4,-4,1,-4,0,0,0,5,5,NULL
AL,bed_bath_table,2017,12,2017-12-01,2,2,0,0,100.000000,0.000000,38.5,26,-12.5,-10,-15,2,-12.5,0,0,0,4.5,4.5,NULL
AL,bed_bath_table,2018,7,2018-07-01,1,1,0,0,100.000000,0.000000,25,22,-3,-3,-3,1,-3,0,0,0,3,3,NULL
AL,computers,2017,8,2017-08-01,1,1,0,0,100.000000,0.000000,28,11,-17,-17,-17,1,-17,0,0,0,5,5,NULL
AL,computers_accessories,2017,5,2017-05-01,4,5,0,0,125.000000,0.000000,33.4,22.2,-11.2,-3,-18,5,-11.2,0,0,0,4.33,4.33,NULL
AL,computers_accessories,2018,5,2018-05-01,5,4,1,0,80.000000,20.000000,28.8,20,-8.8,1,-22,4,-11.3,1,0,0,4.8,4.75,5
AL,computers_accessories,2018,6,2018-06-01,1,1,0,0,100.000000,0.000000,27,12,-15,-15,-15,1,-15,0,0,0,4,4,NULL
AL,consoles_games,2017,3,2017-03-01,1,1,0,0,100.000000,0.000000,33,18,-15,-15,-15,1,-15,0,0,0,5,5,NULL
AL,consoles_games,2018,1,2018-01-01,1,1,0,0,100.000000,0.000000,35,34,-1,-1,-1,1,-1,0,0,0,1,1,NULL
