home_confort,392,111,20,509,58098.35,8446.84,49651.51,85.460000,148.210000,16.590000,3.86,13.4,Healthy
home_construction,483,221,67,807,81527.42,13626.66,67900.76,83.290000,168.790000,16.890000,3.96,13.2,Healthy
housewares,5743,2282,452,8846,617435.16,143038.17,474396.99,76.830000,107.510000,16.170000,4.11,10.9,Healthy
industry_commerce_and_business,232,68,29,310,38574.81,7601.55,30973.26,80.290000,166.270000,24.520000,4.12,10.7,Healthy
kitchen_dining_laundry_garden_furniture,241,92,51,318,45531.98,11540.99,33990.99,74.650000,188.930000,36.290000,4.03,11.8,Healthy
la_cuisine,13,10,2,16,2054.99,333.55,1721.44,83.770000,158.080000,20.850000,3.92,7.6,Healthy
luggage_accessories,1019,346,73,1156,138701.63,30076.49,108625.14,78.320000,136.120000,26.020000,4.35,10.6,Healthy
market_place,274,99,55,374,27795.77,5318.61,22477.16,80.870000,101.440000,14.220000,4.07,12.1,Healthy
music,38,27,19,39,6034.35,690.51,5343.84,88.560000,158.800000,17.710000,4.21,11.6,Healthy
musical_instruments,611,279,67,706,184315.74,17871.38,166444.36,90.300000,301.660000,25.310000,4.22,12.9,Healthy
office_furniture,1254,302,30,2533,269068.17,67259.07,201809.10,75.000000,214.570000,26.550000,3.52,20.8,Healthy
party_supplies,38,25,11,46,4465.19,820.19,3645.00,81.630000,117.510000,17.830000,3.83,9.1,Healthy
perfumery,3086,857,173,3715,390802.76,53196.34,337606.42,86.390000,126.640000,14.320000,4.22,11.7,Healthy
pet_shop,1688,710,132,2253,211843.64,38937.70,172905.94,81.620000,125.500000,17.280000,4.22,11.2,Healthy
security_and_services,2,2,2,2,283.29,41.22,242.07,85.450000,141.650000,20.610000,2.5,15,Healthy
signaling_and_security,138,91,45,305,21315.05,6477.54,14837.51,69.610000,154.460000,21.240000,4.08,10.4,Healthy
small_appliances,609,220,97,727,183469.02,15455.12,168013.90,91.580000,301.260000,21.260000,4.22,10.8,Healthy
small_appliances_home_oven_and_coffee,72,30,14,74,46589.56,2656.34,43933.22,94.300000,647.080000,35.900000,4.43,9.8,Healthy
sports_leisure,7530,2822,466,9726,956883.38,163824.06,793059.32,82.880000,127.080000,16.840000,4.17,12.1,Healthy
stationery,2264,831,172,2756,224051.78,45867.82,178183.96,79.530000,98.960000,16.640000,4.24,12.7,Healthy
tablets_printing_image,79,9,6,89,7528.41,1226.20,6302.21,83.710000,95.300000,13.780000,4.12,13,Healthy
telephony,4093,1112,142,5036,309934.22,69402.94,240531.28,77.610000,75.720000,13.780000,4,12.8,Healthy
toys,3804,1373,242,4357,471586.08,75833.87,395752.21,83.920000,123.970000,17.410000,4.21,11.6,Healthy
Uncategorized,1412,595,253,1825,176199.97,27445.29,148754.68,84.420000,124.790000,15.040000,3.93,12.7,Healthy
watches_gifts,5495,1300,95,6467,1167094.86,98290.12,1068804.74,91.580000,212.390000,15.200000,4.07,12.6,Healthy
